County,County Code,Year,Intent,Deaths,Population,State,Rate
"Escambia County, FL",12033,2009,Homicide,26,297015,FL,8.753766645
"Escambia County, FL",12033,2010,Homicide,30,297619,FL,10.08000161
"Escambia County, FL",12033,2011,Homicide,21,299114,FL,7.020734569
"Escambia County, FL",12033,2012,Homicide,25,302715,FL,8.258593066
"Escambia County, FL",12033,2013,Homicide,26,305817,FL,8.501816446
"Escambia County, FL",12033,2014,Homicide,20,310659,FL,6.437927116
"Escambia County, FL",12033,2015,Homicide,27,311003,FL,8.68158828
"Escambia County, FL",12033,2016,Homicide,23,315187,FL,7.29725528
"Escambia County, FL",12033,2017,Homicide,27,313512,FL,8.612110541
"Escambia County, FL",12033,2018,Homicide,19,315534,FL,6.021538091
"Escambia County, FL",12033,2019,Homicide,28,318316,FL,8.796290479
"Caddo Parish, LA",22017,2009,Homicide,35,253245,LA,13.8206085
"Caddo Parish, LA",22017,2010,Homicide,33,254969,LA,12.9427499
"Caddo Parish, LA",22017,2011,Homicide,23,257051,LA,8.947640741
"Caddo Parish, LA",22017,2012,Homicide,25,257093,LA,9.724107619
"Caddo Parish, LA",22017,2013,Homicide,27,254887,LA,10.59292942
"Caddo Parish, LA",22017,2014,Homicide,26,252603,LA,10.29283104
"Caddo Parish, LA",22017,2015,Homicide,32,251460,LA,12.72568202
"Caddo Parish, LA",22017,2016,Homicide,48,248851,LA,19.28865064
"Caddo Parish, LA",22017,2017,Homicide,57,246581,LA,23.11613628
"Caddo Parish, LA",22017,2018,Homicide,59,242922,LA,24.28763142
"Caddo Parish, LA",22017,2019,Homicide,46,240204,LA,19.15038884
"Lancaster County, SC",45057,2012,Homicide,14,79089,SC,17.7015767
"Lancaster County, SC",45057,2017,Homicide,13,92550,SC,14.04646137
"Lancaster County, SC",45057,2019,Homicide,13,98012,SC,13.263682
"Clarke County, GA",13059,2009,Homicide,10,116843,GA,8.558493021
"Clarke County, GA",13059,2018,Homicide,10,127330,GA,7.853608733
"Clarke County, GA",13059,2019,Homicide,10,128331,GA,7.792349471
"Calcasieu Parish, LA",22019,2009,Homicide,19,191080,LA,9.943479171
"Calcasieu Parish, LA",22019,2010,Homicide,20,192768,LA,10.375166
"Calcasieu Parish, LA",22019,2011,Homicide,15,194092,LA,7.728293799
"Calcasieu Parish, LA",22019,2012,Homicide,11,194493,LA,5.65573054
