State,Year,Deaths,Population,State_code,Rate
Alabama,2010,391,4780125,AL,8.179702414
Alabama,2011,392,4799069,AL,8.168250967
Alabama,2012,405,4815588,AL,8.410187915
Alabama,2013,417,4830081,AL,8.633395589
Alabama,2014,374,4841799,AL,7.724401612
Alabama,2015,473,4852347,AL,9.747860159
Alabama,2016,544,4863525,AL,11.18530284
Alabama,2017,602,4874486,AL,12.35002008
Alabama,2018,568,4887681,AL,11.62105301
Alabama,2019,587,4903185,AL,11.97181016
Alaska,2010,44,710249,AK,6.195010482
Alaska,2011,36,722128,AK,4.98526577
Alaska,2012,38,730443,AK,5.202322426
Alaska,2013,43,737068,AK,5.833925771
Alaska,2014,37,736283,AK,5.025241653
Alaska,2015,62,737498,AK,8.406802459
Alaska,2016,54,741456,AK,7.282967567
Alaska,2017,78,739700,AK,10.54481547
Alaska,2018,56,735139,AK,7.61760701
Alaska,2019,78,731545,AK,10.66236527
Arizona,2010,418,6392288,AZ,6.539129651
Arizona,2011,402,6472643,AZ,6.210755019
Arizona,2012,394,6554978,AZ,6.010699044
Arizona,2013,389,6632764,AZ,5.864824981
Arizona,2014,322,6730413,AZ,4.78425321
Arizona,2015,364,6829676,AZ,5.329681818
Arizona,2016,420,6941072,AZ,6.050938529
Arizona,2017,441,7044008,AZ,6.260640249
Arizona,2018,420,7158024,AZ,5.867541098
Arizona,2019,414,7278717,AZ,5.687815586
Arkansas,2010,188,2916031,AR,6.447119389
Arkansas,2011,208,2940667,AR,7.073225224
Arkansas,2012,238,2952164,AR,8.061882741
Arkansas,2013,212,2959400,AR,7.163614246
Arkansas,2014,217,2967392,AR,7.312818798
Arkansas,2015,217,2978048,AR,7.286652196
Arkansas,2016,248,2989918,AR,8.294541857
Arkansas,2017,278,3001345,AR,9.262513973
Arkansas,2018,264,3009733,AR,8.771542193
Arkansas,2019,270,3017804,AR,8.946903112
California,2010,1954,37254519,CA,5.245001284
California,2011,1916,37638369,CA,5.090550018
California,2012,2010,37948800,CA,5.296610169
California,2013,1890,38260787,CA,4.939783387
California,2014,1813,38596972,CA,4.697259671
California,2015,1987,38918045,CA,5.105600757
California,2016,2074,39167117,CA,5.295258265
California,2017,2022,39358497,CA,5.137391298
California,2018,1890,39461588,CA,4.789467672
California,2019,1794,39512223,CA,4.540367167
Colorado,2010,172,5029319,CO,3.41994612
Colorado,2011,191,5121108,CO,3.729661628
Colorado,2012,205,5192647,CO,3.947890161
Colorado,2013,184,5269035,CO,3.492100546
Colorado,2014,177,5350101,CO,3.308348758
Colorado,2015,206,5450623,CO,3.779384485
Colorado,2016,235,5539215,CO,4.242478402
Colorado,2017,261,5611885,CO,4.6508437
Colorado,2018,263,5691287,CO,4.621098883
Colorado,2019,250,5758736,CO,4.341230437
Connecticut,2010,144,3574147,CT,4.028933337
Connecticut,2011,135,3588283,CT,3.762245063
Connecticut,2012,152,3594547,CT,4.228627418
Connecticut,2013,100,3594841,CT,2.7817642
Connecticut,2014,100,3594524,CT,2.782009523
Connecticut,2015,124,3587122,CT,3.456810223
Connecticut,2016,88,3578141,CT,2.459377649
Connecticut,2017,109,3573297,CT,3.050404151
Connecticut,2018,92,3571520,CT,2.575934056
Connecticut,2019,106,3565287,CT,2.973112683
Delaware,2010,61,897937,DE,6.793349645
Delaware,2011,49,907381,DE,5.400157156
Delaware,2012,62,915179,DE,6.774630974
Delaware,2013,52,923576,DE,5.630289224
Delaware,2014,57,932487,DE,6.112685753
Delaware,2015,65,941252,DE,6.905695818
Delaware,2016,63,948921,DE,6.63911959
Delaware,2017,63,956823,DE,6.584289884
Delaware,2018,57,965479,DE,5.903805261
Delaware,2019,53,973764,DE,5.442797228
District of Columbia,2010,119,601767,DC,19.77509568
District of Columbia,2011,109,619800,DC,17.58631817
District of Columbia,2012,82,634924,DC,12.91493155
District of Columbia,2013,90,650581,DC,13.83378857
District of Columbia,2014,97,662328,DC,14.64531169
District of Columbia,2015,136,675400,DC,20.13621558
District of Columbia,2016,127,685815,DC,18.51811349
District of Columbia,2017,117,694906,DC,16.83680958
District of Columbia,2018,144,701547,DC,20.52606597
District of Columbia,2019,162,705749,DC,22.95433646
Florida,2010,1114,18804564,FL,5.924093747
Florida,2011,1143,19053237,FL,5.998980646
Florida,2012,1200,19297822,FL,6.218318316
Florida,2013,1150,19545621,FL,5.883670823
Florida,2014,1159,19845911,FL,5.839993941
Florida,2015,1208,20209042,FL,5.977522339
Florida,2016,1294,20613477,FL,6.277446546
Florida,2017,1269,20963613,FL,6.053345862
Florida,2018,1315,21244317,FL,6.189890689
Florida,2019,1334,21477737,FL,6.211082667
Georgia,2010,640,9688729,GA,6.605613595
Georgia,2011,618,9802431,GA,6.304558532
Georgia,2012,657,9901430,GA,6.635405189
Georgia,2013,641,9972479,GA,6.427689645
Georgia,2014,658,10067278,GA,6.536026918
Georgia,2015,738,10178447,GA,7.250614951
Georgia,2016,806,10301890,GA,7.823807088
Georgia,2017,810,10410330,GA,7.780733176
Georgia,2018,794,10511131,GA,7.553896912
Georgia,2019,849,10617423,GA,7.996290625
Hawaii,2010,24,1360307,HI,1.764307616
Hawaii,2011,18,1379329,HI,1.30498235
Hawaii,2012,22,1394804,HI,1.577282543
Hawaii,2013,33,1408243,HI,2.343345573
Hawaii,2014,30,1414538,HI,2.120833799
Hawaii,2015,31,1422052,HI,2.179948413
Hawaii,2016,39,1427559,HI,2.731936123
Hawaii,2017,35,1424393,HI,2.457187026
Hawaii,2018,40,1420593,HI,2.815725546
Hawaii,2019,35,1415872,HI,2.471974868
Idaho,2010,23,1567657,ID,1.467157675
Idaho,2011,29,1583910,ID,1.83091211
Idaho,2012,34,1595324,ID,2.131228515
Idaho,2013,31,1611206,ID,1.924024613
Idaho,2014,36,1631112,ID,2.207083266
Idaho,2015,33,1651059,ID,1.998717187
Idaho,2016,30,1682380,ID,1.783188103
Idaho,2017,50,1717715,ID,2.910843766
Idaho,2018,41,1750536,ID,2.342139779
Idaho,2019,27,1787065,ID,1.510857188
Illinois,2010,783,12831572,IL,6.1021362
Illinois,2011,812,12867454,IL,6.310494679
Illinois,2012,832,12882510,IL,6.45836875
Illinois,2013,792,12895129,IL,6.141854029
Illinois,2014,792,12884493,IL,6.146924058
Illinois,2015,863,12858913,IL,6.711298226
Illinois,2016,1157,12820527,IL,9.024590019
Illinois,2017,1120,12778828,IL,8.764497026
Illinois,2018,994,12723071,IL,7.812579211
Illinois,2019,979,12671821,IL,7.725803576
Indiana,2010,315,6484051,IN,4.858074065
Indiana,2011,314,6516528,IN,4.818516854
Indiana,2012,345,6537703,IN,5.277082792
Indiana,2013,400,6568713,IN,6.08947293
Indiana,2014,364,6593644,IN,5.520467893
Indiana,2015,389,6608422,IN,5.886427955
Indiana,2016,480,6634304,IN,7.235122177
Indiana,2017,456,6658078,IN,6.848823339
Indiana,2018,473,6695497,IN,7.064449435
Indiana,2019,466,6732219,IN,6.921937626
Iowa,2010,55,3046871,IA,1.805130575
Iowa,2011,54,3066336,IA,1.761059453
Iowa,2012,63,3076190,IA,2.047987933
Iowa,2013,60,3092997,IA,1.939866091
Iowa,2014,78,3109350,IA,2.508562883
Iowa,2015,73,3120960,IA,2.33902389
Iowa,2016,85,3131371,IA,2.714465964
Iowa,2017,104,3141550,IA,3.310467763
Iowa,2018,81,3148618,IA,2.57255723
Iowa,2019,80,3155070,IA,2.535601429
Kansas,2010,105,2853123,KS,3.680177826
Kansas,2011,123,2869225,KS,4.28687189
Kansas,2012,103,2885257,KS,3.569872632
Kansas,2013,117,2893212,KS,4.043948387
Kansas,2014,104,2900475,KS,3.585619597
Kansas,2015,132,2909011,KS,4.537624643
Kansas,2016,147,2910844,KS,5.050081695
Kansas,2017,185,2908718,KS,6.360190297
Kansas,2018,160,2911359,KS,5.495715231
Kansas,2019,137,2913314,KS,4.702548369
Kentucky,2010,199,4339333,KY,4.585958257
Kentucky,2011,188,4369821,KY,4.302235721
Kentucky,2012,236,4386346,KY,5.380332514
Kentucky,2013,202,4404659,KY,4.586053086
Kentucky,2014,203,4414349,KY,4.598639573
Kentucky,2015,250,4425976,KY,5.648471659
Kentucky,2016,302,4438182,KY,6.804588005
Kentucky,2017,310,4452268,KY,6.962743483
Kentucky,2018,258,4461153,KY,5.783258274
Kentucky,2019,250,4467673,KY,5.59575421
Louisiana,2010,541,4533487,LA,11.93341902
Louisiana,2011,549,4575625,LA,11.99836088
Louisiana,2012,550,4600972,LA,11.95399581
Louisiana,2013,552,4624527,LA,11.93635587
Louisiana,2014,538,4644013,LA,11.58480823
Louisiana,2015,569,4664628,LA,12.19818601
Louisiana,2016,648,4678135,LA,13.8516738
Louisiana,2017,653,4670560,LA,13.98119283
Louisiana,2018,598,4659690,LA,12.83347175
Louisiana,2019,650,4648794,LA,13.98212095
Maine,2010,26,1328358,ME,1.957303679
Maine,2011,29,1328284,ME,2.183268036
Maine,2012,30,1327729,ME,2.259497232
Maine,2013,30,1328009,ME,2.259020835
Maine,2014,23,1330513,ME,1.728656541
Maine,2015,22,1328262,ME,1.656299736
Maine,2016,19,1331317,ME,1.42715822
Maine,2017,19,1334612,ME,1.423634734
Maine,2018,19,1339057,ME,1.418908978
Maine,2019,23,1344212,ME,1.711039628
Maryland,2010,438,5773794,MD,7.585999778
Maryland,2011,418,5839419,MD,7.158246394
Maryland,2012,408,5886992,MD,6.930534303
Maryland,2013,421,5923188,MD,7.107658916
Maryland,2014,387,5957283,MD,6.496250052
Maryland,2015,596,5985562,MD,9.957293902
Maryland,2016,579,6003323,MD,9.644658467
Maryland,2017,587,6023868,MD,9.744569436
Maryland,2018,541,6035802,MD,8.963183352
Maryland,2019,578,6045680,MD,9.560545712
Massachusetts,2010,204,6547785,MA,3.115557398
Massachusetts,2011,200,6613583,MA,3.024079383
Massachusetts,2012,133,6663005,MA,1.996096356
Massachusetts,2013,144,6713315,MA,2.144990962
Massachusetts,2014,133,6762596,MA,1.966700362
Massachusetts,2015,144,6794228,MA,2.119446095
Massachusetts,2016,137,6823608,MA,2.007735497
Massachusetts,2017,171,6859789,MA,2.492788043
Massachusetts,2018,158,6882635,MA,2.295632414
Massachusetts,2019,157,6892503,MA,2.277837239
Michigan,2010,610,9884116,MI,6.171518019
Michigan,2011,654,9882412,MI,6.617817594
Michigan,2012,734,9897145,MI,7.416280149
Michigan,2013,635,9913065,MI,6.405687847
Michigan,2014,589,9929848,MI,5.931611441
Michigan,2015,597,9931715,MI,6.011046431
Michigan,2016,624,9950571,MI,6.270996911
Michigan,2017,588,9973114,MI,5.895851587
Michigan,2018,613,9984072,MI,6.139779441
Michigan,2019,612,9986857,MI,6.128054102
Minnesota,2010,112,5303927,MN,2.111642939
Minnesota,2011,103,5346143,MN,1.926622614
Minnesota,2012,105,5376643,MN,1.952891423
Minnesota,2013,131,5413479,MN,2.419885623
Minnesota,2014,101,5451079,MN,1.85284418
Minnesota,2015,147,5482032,MN,2.681487448
Minnesota,2016,129,5522744,MN,2.335795394
Minnesota,2017,122,5566230,MN,2.191788697
Minnesota,2018,122,5606249,MN,2.176143086
Minnesota,2019,154,5639632,MN,2.730674626
Mississippi,2010,284,2968130,MS,9.568314056
Mississippi,2011,312,2978731,MS,10.474259
Mississippi,2012,293,2983816,MS,9.819640353
Mississippi,2013,291,2988711,MS,9.736638972
Mississippi,2014,332,2990468,MS,11.10194123
Mississippi,2015,325,2988471,MS,10.87512644
Mississippi,2016,345,2987938,MS,11.54642432
Mississippi,2017,360,2988510,MS,12.0461367
