state,value
Alabama,11.9718102
Alaska,10.6623653
Arizona,5.68781559
Arkansas,8.94690311
California,4.54036717
Colorado,4.34123044
Connecticut,2.97311268
Delaware,5.44279723
District of Columbia,22.9543365
Florida,6.21108267
Georgia,7.99629063
Hawaii,2.47197487
Idaho,1.51085719
Illinois,7.72580358
Indiana,6.92193763
Iowa,2.53560143
Kansas,4.70254837
Kentucky,5.59575421
Louisiana,13.982121
Maine,1.71103963
Maryland,9.56054571
Massachusetts,2.27783724
Michigan,6.1280541
Minnesota,2.73067463
Mississippi,14.5826032
Missouri,10.2322993
Montana,3.64902721
Nebraska,2.99833334
Nevada,5.38933742
New Hampshire,2.79471152
New Jersey,3.2311851
New Mexico,10.9689441
New York,3.08940867
North Carolina,6.74098339
North Dakota,2.7556813
Ohio,6.19380449
Oklahoma,8.41552794
Oregon,2.98738399
Pennsylvania,5.63974864
Rhode Island,2.17112014
South Carolina,10.2355656
South Dakota,3.27809925
Tennessee,8.72726336
Texas,5.84220911
Utah,2.55773781
Virginia,5.10806666
Washington,3.16485077
West Virginia,5.13350746
Wisconsin,3.8815382
Wyoming,4.31958726
Vermont,1.76285159
